time,R,P,S
99900.19990019989,7.451253800573136e-14,0.7999999999999149,2.5e-323
99900.2999002999,6.775434149950526e-14,0.7999999999999226,2.5e-323
99900.3999003999,8.551095357352549e-14,0.7999999999999023,2.5e-323
99900.4999004999,7.775521918983821e-14,0.7999999999999111,2.5e-323
99900.5999005999,7.070292230497165e-14,0.7999999999999191,2.5e-323
99900.6999006999,6.429026162076918e-14,0.7999999999999264,2.5e-323
99900.7999007999,8.113906066229287e-14,0.7999999999999072,2.5e-323
99900.8999008999,7.377986092943679e-14,0.7999999999999156,2.5e-323
99900.9999009999,6.708813252620896e-14,0.7999999999999232,2.5e-323
99901.0999010999,8.467020413911194e-14,0.7999999999999032,2.5e-323
99901.1999011999,7.699074208152766e-14,0.799999999999912,2.5e-323
99901.2999012999,7.00077981172718e-14,0.79999999999992,2.5e-323
99901.3999013999,6.365819867678583e-14,0.7999999999999272,2.5e-323
99901.4999014999,8.034140290927551e-14,0.7999999999999082,2.5e-323
99901.5999015999,7.305456615744947e-14,0.7999999999999166,2.5e-323
99901.6999016999,6.64286359927585e-14,0.7999999999999241,2.5e-323
99901.7999017999,8.383792521808623e-14,0.7999999999999043,2.5e-323
99901.8999018999,7.623396687945031e-14,0.7999999999999129,2.5e-323
99901.9999019999,6.931967697162577e-14,0.7999999999999208,2.5e-323
99902.0999020999,6.303250332508151e-14,0.7999999999999279,2.5e-323
99902.1999021999,7.955178050130715e-14,0.799999999999909,2.5e-323
99902.2999022999,7.233657761099545e-14,0.7999999999999172,2.5e-323
99902.3999023999,6.577578272418711e-14,0.7999999999999247,2.5e-323
99902.4999024999,8.301402951652455e-14,0.7999999999999051,2.5e-323
99902.5999025999,7.548481421113823e-14,0.7999999999999137,2.5e-323
99902.6999026999,6.863848669812732e-14,0.7999999999999214,2.5e-323
99902.7999027999,6.241310994585562e-14,0.7999999999999285,2.5e-323
99902.8999028999,7.877011062613712e-14,0.7999999999999099,2.5e-323
99902.9999029999,7.16258199936221e-14,0.799999999999918,2.5e-323
99903.0999030999,6.51295042607043e-14,0.7999999999999254,2.5e-323
99903.1999031999,8.21984306529919e-14,0.799999999999906,2.5e-323
99903.2999032999,7.474320553714314e-14,0.7999999999999146,2.5e-323
99903.3999033999,6.796415588745543e-14,0.7999999999999223,2.5e-323
99903.4999034999,6.179995360978188e-14,0.7999999999999294,2.5e-323
99903.5999035999,7.799631136781296e-14,0.7999999999999109,2.5e-323
99903.6999036999,7.092221882298195e-14,0.799999999999919,2.5e-323
99903.7999037999,6.448973287589264e-14,0.7999999999999263,2.5e-323
99903.8999038999,8.139104315784409e-14,0.799999999999907,2.5e-323
99903.9999039999,7.400906314272965e-14,0.7999999999999153,2.5e-323
99904.0999040999,6.72966138760338e-14,0.7999999999999231,2.5e-323
99904.19990419991,8.493356834816204e-14,0.799999999999903,2.5e-323
99904.2999042999,7.723029695487499e-14,0.7999999999999118,2.5e-323
99904.3999043999,7.022569611271824e-14,0.7999999999999198,2.5e-323
99904.4999044999,6.385639766294888e-14,0.7999999999999271,2.5e-323
99904.5999045999,8.059177756098503e-14,0.7999999999999081,2.5e-323
99904.6999046999,7.328230567854075e-14,0.7999999999999163,2.5e-323
99904.7999047999,6.663578669840983e-14,0.7999999999999239,2.5e-323
99904.8999048999,8.409960780974637e-14,0.799999999999904,2.5e-323
99904.9999049999,7.647199194866449e-14,0.7999999999999127,2.5e-323
99905.09990509991,6.95361832710638e-14,0.7999999999999206,2.5e-323
99905.1999051999,6.32294362555644e-14,0.7999999999999278,2.5e-323
99905.29990529991,7.980055516955853e-14,0.7999999999999089,2.5e-323
99905.3999053999,7.25628615940277e-14,0.7999999999999171,2.5e-323
99905.4999054999,6.598160929796823e-14,0.7999999999999245,2.5e-323
99905.5999055999,8.32740387382693e-14,0.7999999999999049,2.5e-323
99905.6999056999,7.572131698379675e-14,0.7999999999999134,2.5e-323
99905.7999057999,6.885360813566876e-14,0.7999999999999212,2.5e-323
99905.8999058999,6.260878304057644e-14,0.7999999999999283,2.5e-323
99905.99990599991,7.90172931902244e-14,0.7999999999999096,2.5e-323
99906.0999060999,7.185065560992728e-14,0.7999999999999178,2.5e-323
99906.19990619991,6.533401322756538e-14,0.7999999999999252,2.5e-323
99906.2999062999,8.245677475546099e-14,0.7999999999999057,2.5e-323
99906.3999063999,7.497819352027203e-14,0.7999999999999142,2.5e-323
